,t_idx,yaw,orientation,commanded_orientation,time
0,0,0.0,270.0,270.0,0.0
1,1,0.0,270.0,270.0,0.0
2,0,0.0,270.0,270.0,4.0
3,1,0.0,270.0,270.0,4.0
4,0,0.0,270.0,270.0,8.0
5,1,0.0,270.0,270.0,8.0
6,0,0.0,270.0,270.0,12.0
7,1,0.0,270.0,270.0,12.0
8,0,0.0,270.0,270.0,16.0
9,1,0.0,270.0,270.0,16.0
10,0,0.0,270.0,270.0,20.0
11,1,0.0,270.0,270.0,20.0
12,0,0.0,270.0,270.0,24.0
13,1,0.0,270.0,270.0,24.0
14,0,0.0,270.0,270.0,28.0
15,1,0.0,270.0,270.0,28.0
16,0,0.0,270.0,270.0,32.0
17,1,0.0,270.0,270.0,32.0
18,0,20.0,250.0,250.0,36.0
19,1,0.0,270.0,270.0,36.0
20,0,20.0,250.0,250.0,40.0
21,1,0.0,270.0,270.0,40.0
22,0,20.0,250.0,250.0,44.0
23,1,0.0,270.0,270.0,44.0
24,0,20.0,250.0,250.0,48.0
25,1,0.0,270.0,270.0,48.0
26,0,20.0,250.0,250.0,52.0
27,1,0.0,270.0,270.0,52.0
28,0,20.0,250.0,250.0,56.0
29,1,0.0,270.0,270.0,56.0
30,0,20.0,250.0,250.0,60.0
31,1,0.0,270.0,270.0,60.0
32,0,20.0,250.0,250.0,64.0
33,1,0.0,270.0,270.0,64.0
34,0,20.0,250.0,250.0,68.0
35,1,0.0,270.0,270.0,68.0
36,0,20.0,250.0,250.0,72.0
37,1,0.0,270.0,270.0,72.0
38,0,20.0,250.0,250.0,76.0
39,1,0.0,270.0,270.0,76.0
40,0,20.0,250.0,250.0,80.0
41,1,0.0,270.0,270.0,80.0
42,0,20.0,250.0,250.0,84.0
43,1,0.0,270.0,270.0,84.0
44,0,20.0,250.0,250.0,88.0
45,1,0.0,270.0,270.0,88.0
46,0,20.0,250.0,250.0,92.0
47,1,0.0,270.0,270.0,92.0
48,0,20.0,250.0,250.0,96.0
49,1,0.0,270.0,270.0,96.0
50,0,20.0,250.0,250.0,100.0
51,1,0.0,270.0,270.0,100.0
52,0,20.0,250.0,250.0,104.0
53,1,0.0,270.0,270.0,104.0
54,0,20.0,250.0,250.0,108.0
55,1,0.0,270.0,270.0,108.0
56,0,20.0,250.0,250.0,112.0
57,1,0.0,270.0,270.0,112.0
58,0,20.0,250.0,250.0,116.0
59,1,0.0,270.0,270.0,116.0
