,t_idx,u_abs_eff_FLORIS,Ct_FLORIS,AI_FLORIS,TI_FLORIS,Power_FLORIS,power_OFF,time
0,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,0.0
1,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,0.0
2,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,3815675.048834069,4.0
3,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,4.0
4,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,8.0
5,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,8.0
6,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,12.0
7,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,12.0
8,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,16.0
9,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,16.0
10,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,20.0
11,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,20.0
12,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,24.0
13,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,24.0
14,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,28.0
15,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,28.0
16,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,32.0
17,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,32.0
18,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,36.0
19,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,36.0
20,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,40.0
21,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,40.0
22,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,44.0
23,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,44.0
24,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,48.0
25,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,48.0
26,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,52.0
27,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,52.0
28,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,56.0
29,1,9.850331454428005,0.7841156028292792,0.26768319197122176,0.08145551348368374,3309215.5268636574,3296774.3103675377,56.0
30,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,60.0
31,1,10.030057079914366,0.7837388463616503,0.2674805633724625,0.08077689769003142,3479568.592453009,3479357.839063482,60.0
32,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,64.0
33,1,10.030057079914366,0.7837388463616503,0.2674805633724625,0.08077689769003142,3479568.592453009,3479357.839063482,64.0
34,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,68.0
35,1,10.030057079914366,0.7837388463616503,0.2674805633724625,0.08077689769003142,3479568.592453009,3479357.839063482,68.0
36,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,72.0
37,1,10.030057079914366,0.7837388463616503,0.2674805633724625,0.08077689769003142,3479568.592453009,3479357.839063482,72.0
38,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,76.0
39,1,10.030057079914366,0.7837388463616503,0.2674805633724625,0.08077689769003142,3479568.592453009,3479357.839063482,76.0
40,0,11.960528720118884,0.477118358993467,0.13508210751252972,0.06949813647298239,4478609.085853067,3815675.048834069,80.0
41,1,10.030057079914366,0.7837388463616503,0.2674805633724625,0.08077689769003142,3479568.592453009,3479357.839063482,80.0
