,t_idx,u_abs_eff_FLORIS,Ct_FLORIS,AI_FLORIS,TI_FLORIS,Power_FLORIS,power_OFF,time
0,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,5000504.178983091,0.0
1,1,8.837823958523563,0.7860482565081716,0.26872541023070196,0.08066291676570345,2397344.817319368,2385344.845566931,0.0
2,0,11.960528720118884,0.5509288260003813,0.1649361351922522,0.06010564987876995,5000000.0,1.6540087546806173e-24,4.0
3,1,8.827838336393128,0.7860611251791234,0.2687323656340578,0.08075432188045767,2389881.6916082324,7.863355505590532e-25,4.0
4,0,,,,0.060000000000000005,,,8.0
5,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,8.0
6,0,,,,0.060000000000000005,,,12.0
7,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,12.0
8,0,,,,0.060000000000000005,,,16.0
9,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,16.0
10,0,,,,0.060000000000000005,,,20.0
11,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,20.0
12,0,,,,0.060000000000000005,,,24.0
13,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,24.0
14,0,,,,0.060612686552156424,,,28.0
15,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,28.0
16,0,,,,0.060612686552156424,,,32.0
17,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,32.0
18,0,,,,0.060612686552156424,,,36.0
19,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,36.0
20,0,,,,0.060612686552156424,,,40.0
21,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,40.0
22,0,,,,0.060612686552156424,,,44.0
23,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,44.0
24,0,,,,0.060612686552156424,,,48.0
25,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,48.0
26,0,,,,0.060612686552156424,,,52.0
27,1,8.827838336393128,4.813236204423902e-17,0.0,0.08041523769712472,0.0,7.863355505590532e-25,52.0
28,0,,,,0.060612686552156424,,,56.0
29,1,11.960078568141494,3.374025934106039e-17,0.0,0.06000000971111333,0.0,1.6540093880777619e-24,56.0
30,0,,,,0.060612686552156424,,,60.0
31,1,,,,,,,60.0
32,0,,,,0.060612686552156424,,,64.0
33,1,,,,,,,64.0
34,0,,,,0.060612686552156424,,,68.0
35,1,,,,,,,68.0
36,0,,,,0.060612686552156424,,,72.0
37,1,,,,,,,72.0
38,0,,,,0.060612686552156424,,,76.0
39,1,,,,,,,76.0
40,0,,,,0.060612686552156424,,,80.0
41,1,,,,,,,80.0
42,0,,,,0.060612686552156424,,,84.0
43,1,,,,,,,84.0
44,0,,,,0.060612686552156424,,,88.0
45,1,,,,,,,88.0
46,0,,,,0.060612686552156424,,,92.0
47,1,,,,,,,92.0
48,0,,,,0.060612686552156424,,,96.0
49,1,,,,,,,96.0
50,0,,,,0.060612686552156424,,,100.0
51,1,,,,,,,100.0
52,0,,,,0.060612686552156424,,,104.0
53,1,,,,,,,104.0
54,0,,,,0.060612686552156424,,,108.0
55,1,,,,,,,108.0
56,0,,,,0.060612686552156424,,,112.0
57,1,,,,,,,112.0
58,0,,,,0.060612686552156424,,,116.0
59,1,,,,,,,116.0
